location,population,total_death_count,death_percentage
Europe,748962983,1465695,0.19570
Asia,4678444992,1237245,0.02640
"North America",596581283,1189529,0.19940
"South America",434260137,1185661,0.27300
Africa,1373486472,224409,0.01630
Oceania,43219954,3437,0.00800
